id,name,age,nationality,country,club,leagueName,position,alternativePositions,preferredFoot,marketValue,OVR,PAC,SHO,PAS,DRI,DEF,PHY,cardType,source
isr_1,Ofek Melika,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,GK,,,,84,44,35,56,50,35,62,active,israeli
isr_2,Roei Amedi,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,GK,,,,86,46,35,58,43,35,65,active,israeli
isr_3,Shalev Sa'adia,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,GK,,,,87,46,35,58,52,35,64,active,israeli
isr_4,Roi Mishpati,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,GK,,,,79,46,35,48,43,35,63,active,israeli
isr_5,Roy Revivo,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,CB,,,,80,56,35,47,50,92,89,active,israeli
isr_6,Heitor,,Brazil,Brazil,Maccabi Tel Aviv,Ligat Ha'al,CB,,,,80,61,35,43,46,97,94,active,israeli
isr_7,Mohamed Ali Camara,,Guinea,Guinea,Maccabi Tel Aviv,Ligat Ha'al,CB,,,,81,62,35,45,48,99,87,active,israeli
isr_8,Tyrese Asante,,Netherlands,Netherlands,Maccabi Tel Aviv,Ligat Ha'al,LB,,,,83,72,39,55,60,79,57,active,israeli
isr_9,Sagiv Yehezkel,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,RB,,,,83,72,39,55,60,79,57,active,israeli
isr_10,Raz Shlomo,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,CB,,,,78,57,35,49,43,93,89,active,israeli
isr_11,Denny Gropper,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,CB,,,,74,55,35,39,42,89,86,active,israeli
isr_12,Noam Ben Harush,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,CB,,,,73,57,35,40,43,90,78,active,israeli
isr_13,Itay Ben Hemo,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,LB,,,,74,69,40,54,50,67,55,active,israeli
